発表日,対象月,分後,価格,値動き($)
2025-11-20,2025年9月分,-5.0,4086.920000000001,0.8500000000012733
2025-11-20,2025年9月分,-4.0,4089.87,3.8000000000010914
2025-11-20,2025年9月分,-3.0,4090.62,4.550000000000637
2025-11-20,2025年9月分,-2.0,4086.755,0.6850000000008549
2025-11-20,2025年9月分,-1.0,4086.075,0.0050000000005638
2025-11-20,2025年9月分,0.0,4082.12,-3.9499999999989086
2025-11-20,2025年9月分,1.0,4082.6615,-3.408499999999094
2025-11-20,2025年9月分,2.0,4083.77,-2.2999999999992724
2025-11-20,2025年9月分,3.0,4078.4850000000006,-7.584999999998672
2025-11-20,2025年9月分,4.0,4074.687,-11.382999999999356
2025-11-20,2025年9月分,5.0,4082.4345,-3.635499999998956
2025-11-20,2025年9月分,6.0,4082.6215,-3.4484999999995125
2025-11-20,2025年9月分,7.0,4089.0565,2.986500000000433
2025-11-20,2025年9月分,8.0,4092.63,6.5600000000004
2025-11-20,2025年9月分,9.0,4093.023,6.953000000000884
2025-11-20,2025年9月分,10.0,4090.8919999999994,4.822000000000116
2025-11-20,2025年9月分,11.0,4086.237,0.1670000000008258
2025-11-20,2025年9月分,12.0,4089.6770000000006,3.607000000001335
2025-11-20,2025年9月分,13.0,4086.487,0.4170000000003711
2025-11-20,2025年9月分,14.0,4080.5,-5.569999999999254
2025-11-20,2025年9月分,15.0,4081.8600000000006,-4.209999999998672
2025-11-20,2025年9月分,16.0,4077.18,-8.889999999999418
2025-11-20,2025年9月分,17.0,4082.33,-3.739999999998872
2025-11-20,2025年9月分,18.0,4085.235,-0.8349999999991269
2025-11-20,2025年9月分,19.0,4088.465,2.3950000000008913
2025-11-20,2025年9月分,20.0,4085.644999999999,-0.4249999999997271
2025-11-20,2025年9月分,21.0,4083.015,-3.054999999998927
2025-11-20,2025年9月分,22.0,4081.5515,-4.518499999999676
2025-11-20,2025年9月分,23.0,4080.465,-5.604999999999563
2025-11-20,2025年9月分,24.0,4078.37,-7.699999999998909
2025-11-20,2025年9月分,25.0,4075.635,-10.43499999999949
2025-11-20,2025年9月分,26.0,4075.4315,-10.638499999999569
2025-11-20,2025年9月分,27.0,4079.5100000000007,-6.559999999998581
2025-11-20,2025年9月分,28.0,4082.415,-3.654999999998836
2025-11-20,2025年9月分,29.0,4080.475,-5.594999999999345
2025-11-20,2025年9月分,30.0,4080.465,-5.604999999999563
2025-12-16,2025年10-11月分,-5.0,4300.79,-1.031500000000051
2025-12-16,2025年10-11月分,-4.0,4301.73,-0.0915000000004511
2025-12-16,2025年10-11月分,-3.0,4300.849999999999,-0.9715000000005602
2025-12-16,2025年10-11月分,-2.0,4300.96,-0.8614999999999782
2025-12-16,2025年10-11月分,-1.0,4301.735,-0.0865000000003419
2025-12-16,2025年10-11月分,0.0,4306.15,4.328499999999622
2025-12-16,2025年10-11月分,1.0,4308.385,6.563500000000204
2025-12-16,2025年10-11月分,2.0,4310.78,8.95849999999973
2025-12-16,2025年10-11月分,3.0,4311.525000000001,9.703500000000531
2025-12-16,2025年10-11月分,4.0,4307.24,5.418499999999767
2025-12-16,2025年10-11月分,5.0,4305.22,3.39850000000024
2025-12-16,2025年10-11月分,6.0,4308.3150000000005,6.493500000000495
2025-12-16,2025年10-11月分,7.0,4310.04,8.218499999999949
2025-12-16,2025年10-11月分,8.0,4307.265,5.443500000000313
2025-12-16,2025年10-11月分,9.0,4306.910000000001,5.088500000000749
2025-12-16,2025年10-11月分,10.0,4311.1265,9.305000000000293
2025-12-16,2025年10-11月分,11.0,4307.805,5.9835000000002765
2025-12-16,2025年10-11月分,12.0,4307.275,5.453499999999622
2025-12-16,2025年10-11月分,13.0,4305.615,3.793499999999767
2025-12-16,2025年10-11月分,14.0,4304.295,2.473500000000058
2025-12-16,2025年10-11月分,15.0,4303.58,1.758499999999913
2025-12-16,2025年10-11月分,16.0,4300.035,-1.78650000000016
2025-12-16,2025年10-11月分,17.0,4303.625,1.8034999999999857
2025-12-16,2025年10-11月分,18.0,4301.475,-0.3464999999996507
2025-12-16,2025年10-11月分,19.0,4303.860000000001,2.0385000000005675
2025-12-16,2025年10-11月分,20.0,4306.14,4.318500000000313
2025-12-16,2025年10-11月分,21.0,4306.16,4.33849999999984
2025-12-16,2025年10-11月分,22.0,4305.835,4.013500000000022
2025-12-16,2025年10-11月分,23.0,4306.8885,5.067000000000007
2025-12-16,2025年10-11月分,24.0,4306.225,4.403500000000349
2025-12-16,2025年10-11月分,25.0,4310.030000000001,8.20850000000064
2025-12-16,2025年10-11月分,26.0,4312.075,10.253499999999804
2025-12-16,2025年10-11月分,27.0,4311.09,9.268500000000133
2025-12-16,2025年10-11月分,28.0,4311.1050000000005,9.283500000000458
2025-12-16,2025年10-11月分,29.0,4313.070000000001,11.248500000000604
2025-12-16,2025年10-11月分,30.0,4312.385,10.563500000000204
2026-01-09,2025年12月分,-5.0,4474.6285,1.4749999999994543
2026-01-09,2025年12月分,-4.0,4473.0435,-0.110000000000582
2026-01-09,2025年12月分,-3.0,4473.1885,0.0349999999998544
2026-01-09,2025年12月分,-2.0,4470.9800000000005,-2.1734999999998763
2026-01-09,2025年12月分,-1.0,4473.15,-0.003500000000713
2026-01-09,2025年12月分,0.0,4470.900000000001,-2.2534999999998035
2026-01-09,2025年12月分,1.0,4476.965,3.811499999999796
2026-01-09,2025年12月分,2.0,4482.825,9.671499999999469
2026-01-09,2025年12月分,3.0,4484.615,11.461499999999432
2026-01-09,2025年12月分,4.0,4486.965,13.811499999999796
2026-01-09,2025年12月分,5.0,4483.695,10.54149999999936
2026-01-09,2025年12月分,6.0,4483.400000000001,10.246500000000196
2026-01-09,2025年12月分,7.0,4489.2385,16.085000000000036
2026-01-09,2025年12月分,8.0,4489.26,16.10649999999987
2026-01-09,2025年12月分,9.0,4488.7415,15.587999999999738
2026-01-09,2025年12月分,10.0,4488.83,15.676499999999578
2026-01-09,2025年12月分,11.0,4485.945,12.79149999999936
2026-01-09,2025年12月分,12.0,4487.925,14.771499999999833
2026-01-09,2025年12月分,13.0,4488.096500000001,14.943000000000213
2026-01-09,2025年12月分,14.0,4486.961499999999,13.807999999999083
2026-01-09,2025年12月分,15.0,4487.0965,13.942999999999302
2026-01-09,2025年12月分,16.0,4487.5365,14.38299999999981
2026-01-09,2025年12月分,17.0,4484.4715,11.317999999999302
2026-01-09,2025年12月分,18.0,4482.7715,9.617999999999483
2026-01-09,2025年12月分,19.0,4483.525000000001,10.371500000000196
2026-01-09,2025年12月分,20.0,4479.8165,6.662999999999556
2026-01-09,2025年12月分,21.0,4479.61,6.456499999999323
2026-01-09,2025年12月分,22.0,4484.575,11.421499999999469
2026-01-09,2025年12月分,23.0,4481.1015,7.947999999999411
2026-01-09,2025年12月分,24.0,4483.2,10.046499999999469
2026-01-09,2025年12月分,25.0,4484.6965,11.542999999999664
2026-01-09,2025年12月分,26.0,4485.089999999999,11.936499999998889
2026-01-09,2025年12月分,27.0,4483.700000000001,10.546500000000378
2026-01-09,2025年12月分,28.0,4481.58,8.426499999999578
2026-01-09,2025年12月分,29.0,4482.5914999999995,9.437999999999192
2026-01-09,2025年12月分,30.0,4485.8315,12.677999999999884
2026-02-11,2026年1月分,-5.0,5084.765,1.4234999999998763
2026-02-11,2026年1月分,-4.0,5086.360000000001,3.018500000000131
2026-02-11,2026年1月分,-3.0,5088.86,5.5184999999992215
2026-02-11,2026年1月分,-2.0,5084.92,1.5784999999996217
2026-02-11,2026年1月分,-1.0,5083.3215,-0.0200000000004365
2026-02-11,2026年1月分,0.0,5023.32,-60.02150000000074
2026-02-11,2026年1月分,1.0,5046.974999999999,-36.366500000001
2026-02-11,2026年1月分,2.0,5049.8665,-33.475000000000364
2026-02-11,2026年1月分,3.0,5043.2415,-40.10000000000037
2026-02-11,2026年1月分,4.0,5050.105,-33.23650000000089
2026-02-11,2026年1月分,5.0,5047.625,-35.71650000000045
2026-02-11,2026年1月分,6.0,5047.9,-35.441500000000815
2026-02-11,2026年1月分,7.0,5056.879999999999,-26.46150000000125
2026-02-11,2026年1月分,8.0,5049.71,-33.631500000000415
2026-02-11,2026年1月分,9.0,5064.455,-18.886500000000524
2026-02-11,2026年1月分,10.0,5061.26,-22.081500000000233
2026-02-11,2026年1月分,11.0,5065.22,-18.121500000000196
2026-02-11,2026年1月分,12.0,5056.435,-26.90650000000005
2026-02-11,2026年1月分,13.0,5060.063499999999,-23.278000000001157
2026-02-11,2026年1月分,14.0,5060.535,-22.806500000000597
2026-02-11,2026年1月分,15.0,5064.870000000001,-18.47149999999965
2026-02-11,2026年1月分,16.0,5059.2699999999995,-24.071500000000924
2026-02-11,2026年1月分,17.0,5060.29,-23.051500000000487
2026-02-11,2026年1月分,18.0,5064.515,-18.826500000000124
2026-02-11,2026年1月分,19.0,5069.235000000001,-14.106499999999867
2026-02-11,2026年1月分,20.0,5065.53,-17.811500000000706
2026-02-11,2026年1月分,21.0,5060.45,-22.891500000000633
2026-02-11,2026年1月分,22.0,5063.605,-19.736500000000888
2026-02-11,2026年1月分,23.0,5064.57,-18.771500000000746
2026-02-11,2026年1月分,24.0,5066.92,-16.42150000000038
2026-02-11,2026年1月分,25.0,5068.88,-14.461500000000342
2026-02-11,2026年1月分,26.0,5066.73,-16.611500000000888
2026-02-11,2026年1月分,27.0,5067.45,-15.891500000000631
2026-02-11,2026年1月分,28.0,5069.735,-13.60650000000078
2026-02-11,2026年1月分,29.0,5065.9,-17.441500000000815
2026-02-11,2026年1月分,30.0,5063.945,-19.396500000000746
2026-03-06,2026年2月分,-5.0,5086.29,3.0084999999999127
2026-03-06,2026年2月分,-4.0,5086.9165,3.6350000000002183
2026-03-06,2026年2月分,-3.0,5082.7985,-0.4830000000001746
2026-03-06,2026年2月分,-2.0,5083.410000000001,0.128500000000713
2026-03-06,2026年2月分,-1.0,5083.2715,-0.0100000000002182
2026-03-06,2026年2月分,0.0,5119.2,35.91849999999977
2026-03-06,2026年2月分,1.0,5108.835,25.553499999999985
2026-03-06,2026年2月分,2.0,5117.570000000001,34.28850000000057
2026-03-06,2026年2月分,3.0,5122.495,39.21349999999984
2026-03-06,2026年2月分,4.0,5124.2135,40.93199999999979
2026-03-06,2026年2月分,5.0,5129.95,46.66849999999977
2026-03-06,2026年2月分,6.0,5130.398499999999,47.11699999999928
2026-03-06,2026年2月分,7.0,5129.195,45.91349999999966
2026-03-06,2026年2月分,8.0,5122.055,38.77350000000024
2026-03-06,2026年2月分,9.0,5124.405,41.123499999999694
2026-03-06,2026年2月分,10.0,5119.875,36.59349999999995
2026-03-06,2026年2月分,11.0,5119.625,36.34349999999995
2026-03-06,2026年2月分,12.0,5118.835,35.553499999999985
2026-03-06,2026年2月分,13.0,5122.3550000000005,39.07350000000042
2026-03-06,2026年2月分,14.0,5122.3485,39.06700000000001
2026-03-06,2026年2月分,15.0,5117.235000000001,33.95350000000053
2026-03-06,2026年2月分,16.0,5116.1485,32.86700000000019
2026-03-06,2026年2月分,17.0,5115.1635,31.881999999999607
2026-03-06,2026年2月分,18.0,5117.6535,34.3720000000003
2026-03-06,2026年2月分,19.0,5117.5650000000005,34.28350000000046
2026-03-06,2026年2月分,20.0,5111.764999999999,28.483499999999367
2026-03-06,2026年2月分,21.0,5105.405000000001,22.123500000000604
2026-03-06,2026年2月分,22.0,5109.785,26.503499999999804
2026-03-06,2026年2月分,23.0,5103.545,20.263500000000025
2026-03-06,2026年2月分,24.0,5102.245,18.96349999999984
2026-03-06,2026年2月分,25.0,5095.68,12.39850000000024
2026-03-06,2026年2月分,26.0,5085.6314999999995,2.3499999999994543
2026-03-06,2026年2月分,27.0,5080.5064999999995,-2.7750000000005457
2026-03-06,2026年2月分,28.0,5076.385,-6.896499999999833
2026-03-06,2026年2月分,29.0,5085.195000000001,1.9135000000005675
2026-03-06,2026年2月分,30.0,5087.825,4.543499999999767
2026-05-08,2026年4月分,-5.0,4709.715,-1.231999999999971
2026-05-08,2026年4月分,-4.0,4708.845,-2.1019999999998618
2026-05-08,2026年4月分,-3.0,4709.3,-1.6469999999999343
2026-05-08,2026年4月分,-2.0,4710.865,-0.0820000000003347
2026-05-08,2026年4月分,-1.0,4710.936,-0.011000000000422
2026-05-08,2026年4月分,0.0,4708.700000000001,-2.246999999999389
2026-05-08,2026年4月分,1.0,4710.9400000000005,-0.006999999999607
2026-05-08,2026年4月分,2.0,4714.849999999999,3.902999999999338
2026-05-08,2026年4月分,3.0,4722.145,11.19800000000032
2026-05-08,2026年4月分,4.0,4723.335,12.38799999999992
2026-05-08,2026年4月分,5.0,4723.13,12.182999999999993
2026-05-08,2026年4月分,6.0,4727.155000000001,16.20800000000054
2026-05-08,2026年4月分,7.0,4723.615,12.667999999999664
2026-05-08,2026年4月分,8.0,4724.155000000001,13.208000000000538
2026-05-08,2026年4月分,9.0,4725.6050000000005,14.658000000000357
2026-05-08,2026年4月分,10.0,4726.67,15.722999999999956
2026-05-08,2026年4月分,11.0,4723.79,12.842999999999847
2026-05-08,2026年4月分,12.0,4724.339999999999,13.39299999999912
2026-05-08,2026年4月分,13.0,4729.755,18.807999999999993
2026-05-08,2026年4月分,14.0,4723.990000000001,13.043000000000577
2026-05-08,2026年4月分,15.0,4720.999999999999,10.052999999998974
2026-05-08,2026年4月分,16.0,4724.68,13.733000000000176
2026-05-08,2026年4月分,17.0,4724.139999999999,13.192999999999302
2026-05-08,2026年4月分,18.0,4725.14,14.193000000000213
2026-05-08,2026年4月分,19.0,4724.4465,13.499499999999898
2026-05-08,2026年4月分,20.0,4721.34,10.393000000000027
2026-05-08,2026年4月分,21.0,4724.401500000001,13.454500000000737
2026-05-08,2026年4月分,22.0,4726.74,15.792999999999664
2026-05-08,2026年4月分,23.0,4726.51,15.563000000000102
2026-05-08,2026年4月分,24.0,4730.94,19.992999999999483
2026-05-08,2026年4月分,25.0,4729.47,18.52300000000014
2026-05-08,2026年4月分,26.0,4728.5615,17.61449999999968
2026-05-08,2026年4月分,27.0,4729.139999999999,18.1929999999993
2026-05-08,2026年4月分,28.0,4724.455,13.50799999999981
2026-05-08,2026年4月分,29.0,4724.505,13.557999999999993
2026-05-08,2026年4月分,30.0,4724.235000000001,13.288000000000466
2026-06-05,2026年5月分,-5.0,4466.209999999999,0.8749999999990905
2026-06-05,2026年5月分,-4.0,4465.1835,-0.1514999999999418
2026-06-05,2026年5月分,-3.0,4464.035,-1.300000000000182
2026-06-05,2026年5月分,-2.0,4462.7485,-2.586500000000342
2026-06-05,2026年5月分,-1.0,4465.335,0.0
2026-06-05,2026年5月分,0.0,4450.58,-14.75500000000011
2026-06-05,2026年5月分,1.0,4451.325,-14.010000000000218
2026-06-05,2026年5月分,2.0,4450.9349999999995,-14.400000000000546
2026-06-05,2026年5月分,3.0,4455.0335,-10.301500000000487
2026-06-05,2026年5月分,4.0,4453.2285,-12.106499999999867
2026-06-05,2026年5月分,5.0,4448.900000000001,-16.43499999999949
2026-06-05,2026年5月分,6.0,4441.9,-23.4350000000004
2026-06-05,2026年5月分,7.0,4441.85,-23.484999999999673
2026-06-05,2026年5月分,8.0,4441.9,-23.4350000000004
2026-06-05,2026年5月分,9.0,4444.075,-21.26000000000022
2026-06-05,2026年5月分,10.0,4447.0,-18.335000000000036
2026-06-05,2026年5月分,11.0,4446.235,-19.100000000000364
2026-06-05,2026年5月分,12.0,4445.195,-20.140000000000327
2026-06-05,2026年5月分,13.0,4446.925,-18.409999999999854
2026-06-05,2026年5月分,14.0,4446.160000000001,-19.174999999999272
2026-06-05,2026年5月分,15.0,4447.39,-17.94499999999971
2026-06-05,2026年5月分,16.0,4447.905,-17.43000000000029
2026-06-05,2026年5月分,17.0,4445.990000000001,-19.344999999999345
2026-06-05,2026年5月分,18.0,4444.599999999999,-20.735000000000586
2026-06-05,2026年5月分,19.0,4440.2699999999995,-25.06500000000051
2026-06-05,2026年5月分,20.0,4437.265,-28.06999999999971
2026-06-05,2026年5月分,21.0,4427.865,-37.470000000000255
2026-06-05,2026年5月分,22.0,4423.09,-42.24499999999989
2026-06-05,2026年5月分,23.0,4421.155000000001,-44.17999999999938
2026-06-05,2026年5月分,24.0,4417.04,-48.29500000000007
2026-06-05,2026年5月分,25.0,4416.29,-49.04500000000007
2026-06-05,2026年5月分,26.0,4413.294999999999,-52.04000000000087
2026-06-05,2026年5月分,27.0,4411.2785,-54.05649999999969
2026-06-05,2026年5月分,28.0,4412.89,-52.44499999999971
2026-06-05,2026年5月分,29.0,4406.375,-58.96000000000003
2026-06-05,2026年5月分,30.0,4405.419999999999,-59.91500000000087
2026-07-02,2026年6月分,-5.0,4068.525,2.3849999999997635
2026-07-02,2026年6月分,-4.0,4068.455,2.3150000000000546
2026-07-02,2026年6月分,-3.0,4066.26,0.1199999999998908
2026-07-02,2026年6月分,-2.0,4065.075,-1.0649999999995998
2026-07-02,2026年6月分,-1.0,4065.43,-0.7100000000000364
2026-07-02,2026年6月分,0.0,4117.56,51.42000000000053
2026-07-02,2026年6月分,1.0,4109.8550000000005,43.7150000000006
2026-07-02,2026年6月分,2.0,4118.054999999999,51.91499999999951
2026-07-02,2026年6月分,3.0,4121.115000000001,54.97500000000082
2026-07-02,2026年6月分,4.0,4127.445,61.30499999999984
2026-07-02,2026年6月分,5.0,4130.3275,64.18750000000045
2026-07-02,2026年6月分,6.0,4127.745,61.60500000000002
2026-07-02,2026年6月分,7.0,4133.544999999999,67.40499999999929
2026-07-02,2026年6月分,8.0,4132.8215,66.68150000000014
2026-07-02,2026年6月分,9.0,4137.275,71.13499999999976
2026-07-02,2026年6月分,10.0,4139.375,73.23500000000013
2026-07-02,2026年6月分,11.0,4130.82,64.67999999999984
2026-07-02,2026年6月分,12.0,4135.04,68.90000000000009
2026-07-02,2026年6月分,13.0,4137.3,71.16000000000031
2026-07-02,2026年6月分,14.0,4133.085,66.94500000000016
2026-07-02,2026年6月分,15.0,4132.32,66.17999999999984
2026-07-02,2026年6月分,16.0,4129.5199999999995,63.379999999999654
2026-07-02,2026年6月分,17.0,4122.35,56.21000000000049
2026-07-02,2026年6月分,18.0,4126.465,60.32500000000027
2026-07-02,2026年6月分,19.0,4124.9,58.75999999999976
2026-07-02,2026年6月分,20.0,4127.55,61.41000000000031
2026-07-02,2026年6月分,21.0,4123.3,57.16000000000031
2026-07-02,2026年6月分,22.0,4124.95,58.809999999999945
2026-07-02,2026年6月分,23.0,4122.3,56.16000000000031
2026-07-02,2026年6月分,24.0,4120.065,53.92499999999973
2026-07-02,2026年6月分,25.0,4118.355,52.21499999999969
2026-07-02,2026年6月分,26.0,4116.48,50.33999999999969
2026-07-02,2026年6月分,27.0,4113.79,47.65000000000009
2026-07-02,2026年6月分,28.0,4112.3,46.16000000000031
2026-07-02,2026年6月分,29.0,4117.619999999999,51.47999999999911
2026-07-02,2026年6月分,30.0,4122.325,56.184999999999945
2026-08-07,2026年7月分,-5.0,4311.945,1.7499999999990905
2026-08-07,2026年7月分,-4.0,4310.875,0.6799999999993815
2026-08-07,2026年7月分,-3.0,4311.885,1.6899999999995998
2026-08-07,2026年7月分,-2.0,4314.915000000001,4.720000000000255
2026-08-07,2026年7月分,-1.0,4310.049999999999,-0.145000000001346
2026-08-07,2026年7月分,0.0,4353.22,43.02499999999963
2026-08-07,2026年7月分,1.0,4358.845,48.64999999999963
2026-08-07,2026年7月分,2.0,4354.58,44.38499999999931
2026-08-07,2026年7月分,3.0,4356.08,45.88499999999931
2026-08-07,2026年7月分,4.0,4359.955,49.75999999999931
2026-08-07,2026年7月分,5.0,4359.13,48.93499999999949
2026-08-07,2026年7月分,6.0,4359.23,49.034999999998945
2026-08-07,2026年7月分,7.0,4356.179999999999,45.98499999999876
2026-08-07,2026年7月分,8.0,4356.215,46.01999999999953
2026-08-07,2026年7月分,9.0,4364.735000000001,54.53999999999997
2026-08-07,2026年7月分,10.0,4366.275000000001,56.07999999999993
2026-08-07,2026年7月分,11.0,4366.855,56.659999999998945
2026-08-07,2026年7月分,12.0,4368.68,58.48499999999967
2026-08-07,2026年7月分,13.0,4368.335,58.13999999999942
2026-08-07,2026年7月分,14.0,4367.16,56.96499999999923
2026-08-07,2026年7月分,15.0,4370.585,60.38999999999942
2026-08-07,2026年7月分,16.0,4370.7300000000005,60.534999999999854
2026-08-07,2026年7月分,17.0,4370.8,60.60499999999956
2026-08-07,2026年7月分,18.0,4368.565,58.36999999999898
2026-08-07,2026年7月分,19.0,4368.634999999999,58.43999999999869
2026-08-07,2026年7月分,20.0,4368.385,58.1899999999996
2026-08-07,2026年7月分,21.0,4368.15,57.95499999999902
2026-08-07,2026年7月分,22.0,4365.9800000000005,55.784999999999854
2026-08-07,2026年7月分,23.0,4367.3099999999995,57.11499999999887
2026-08-07,2026年7月分,24.0,4364.595,54.39999999999963
2026-08-07,2026年7月分,25.0,4361.735000000001,51.53999999999997
2026-08-07,2026年7月分,26.0,4357.45,47.2549999999992
2026-08-07,2026年7月分,27.0,4357.215,47.01999999999953
2026-08-07,2026年7月分,28.0,4357.66,47.46499999999923
2026-08-07,2026年7月分,29.0,4361.465,51.26999999999953
2026-08-07,2026年7月分,30.0,4359.92,49.724999999999454
